,municipality,province,latitude,longitude,surface_km2,population,avg_household_income_2012,avg_woz_2014,university
260,Cuijk,Noord-Brabant,51.728.927,5.879.209,57.07,24780.0,34200.0,212000.0,0
261,Montferland,Gelderland,51.919.617,6.246.311,106.63,34985.0,34100.0,208000.0,0
262,Echt-Susteren,Limburg,51.093.224,5.907.364,104.53,31940.0,34100.0,192000.0,0
263,Tholen,Zeeland,51.533.271,4.216.222,254.0,25398.0,34100.0,185000.0,0
264,Losser,Overijssel,52.262.852,7.005.785,99.61,22619.0,34100.0,206000.0,0
265,Bergen (L.),Limburg,51.599.866,6.032.998,108.48,13230.0,34000.0,208000.0,0
266,Oldenzaal,Overijssel,52.311.655,6.926.828,21.95,32152.0,34000.0,201000.0,0
267,Valkenburg aan de Geul,Limburg,50.868.477,5.826.448,36.92,16668.0,34000.0,202000.0,0
268,Hardenberg,Overijssel,52.575.408,6.616.695,317.14,59592.0,34000.0,197000.0,0
269,Gorinchem,Zuid-Holland,51.837.225,4.975.829,21.93,35252.0,34000.0,194000.0,0
270,Leiden,Zuid-Holland,52.160.114,4.497.010,23.27,121199.0,34000.0,210000.0,1
271,Bedum,Groningen,53.301.675,6.599.829,44.96,10475.0,33900.0,176000.0,0
272,Roosendaal,Noord-Brabant,51.535.849,4.465.321,107.16,76930.0,33900.0,204000.0,0
273,Tytsjerksteradiel,Friesland,53.176.038,5.978.680,161.41,31980.0,33800.0,192000.0,0
274,Hoorn,Noord-Holland,52.642.365,5.060.212,53.25,71741.0,33800.0,186000.0,0
275,Opsterland,Friesland,53.039.542,6.115.320,227.64,29894.0,33800.0,191000.0,0
276,Twenterand,Overijssel,52.450.068,6.620.745,108.14,33939.0,33700.0,203000.0,0
277,Zandvoort,Noord-Holland,52.371.149,4.533.355,43.97,16588.0,33700.0,255000.0,0
278,Wageningen,Gelderland,51.969.187,5.665.395,32.36,37511.0,33700.0,244000.0,1
279,Westervoort,Gelderland,51.963.807,5.968.984,7.84,15147.0,33700.0,182000.0,0
280,Tiel,Gelderland,51.887.618,5.427.877,34.81,41729.0,33600.0,195000.0,0
281,Beesel,Limburg,51.269.698,6.046.834,29.15,13593.0,33600.0,186000.0,0
282,Bergen op Zoom,Noord-Brabant,51.494.576,4.287.162,93.13,66423.0,33600.0,195000.0,0
283,Zwolle,Overijssel,52.516.775,6.083.022,119.36,123211.0,33600.0,200000.0,0
284,Goes,Zeeland,51.504.646,3.891.130,101.92,36977.0,33600.0,198000.0,0
285,Rheden,Gelderland,52.005.737,6.027.959,84.35,43563.0,33600.0,204000.0,0
286,Zevenaar,Gelderland,51.929.445,6.076.959,58.0,32254.0,33400.0,186000.0,0
287,Winsum,Groningen,53.330.810,6.522.254,102.53,13843.0,33300.0,167000.0,0
288,Zaanstad,Noord-Holland,52.457.966,4.751.043,83.24,150911.0,33300.0,177000.0,0
289,Simpelveld,Limburg,50.832.849,5.987.771,16.02,10844.0,33300.0,161000.0,0
290,Terschelling,Friesland,53.397.875,5.346.679,673.99,4769.0,33300.0,298000.0,0
291,Aalten,Gelderland,51.926.667,6.580.678,96.57,27030.0,33300.0,194000.0,0
292,Doetinchem,Gelderland,51.964.699,6.293.774,79.66,56350.0,33200.0,194000.0,0
293,Kampen,Overijssel,52.557.964,5.914.462,161.79,51069.0,33200.0,197000.0,0
294,Coevorden,Drenthe,52.661.357,6.741.062,299.69,35771.0,33200.0,191000.0,0
295,Sluis,Zeeland,51.308.656,3.387.919,307.16,23795.0,33200.0,181000.0,0
296,Borger-Odoorn,Drenthe,52.889.372,6.888.404,277.89,25633.0,33100.0,180000.0,0
297,Rijswijk,Zuid-Holland,52.037.698,4.321.974,14.49,47680.0,33100.0,183000.0,0
298,Terneuzen,Zeeland,51.332.285,3.832.426,317.76,54711.0,33000.0,157000.0,0
299,Middelburg,Zeeland,51.498.796,3.610.998,53.04,47660.0,33000.0,177000.0,0
300,Onderbanken,Limburg,50.969.852,5.965.396,21.24,7882.0,32900.0,168000.0,0
301,Helmond,Noord-Brabant,51.479.255,5.657.010,54.75,89346.0,32900.0,206000.0,0
302,Noord-Beveland,Zeeland,51.570.283,3.771.484,121.51,7508.0,32900.0,199000.0,0
303,Noordoostpolder,Flevoland,52.692.622,5.737.842,595.43,46372.0,32900.0,176000.0,0
304,Leek,Groningen,53.161.611,6.390.616,64.28,19607.0,32800.0,183000.0,0
305,Steenwijkerland,Overijssel,52.741.538,6.049.324,321.59,43372.0,32800.0,196000.0,0
306,Deventer,Overijssel,52.266.075,6.155.217,134.33,98327.0,32800.0,191000.0,0
307,Enkhuizen,Noord-Holland,52.707.566,5.274.120,116.25,18395.0,32700.0,180000.0,0
308,Meppel,Drenthe,52.692.123,6.193.719,57.03,32875.0,32700.0,190000.0,0
309,Dordrecht,Zuid-Holland,51.813.298,4.690.093,99.47,118716.0,32600.0,159000.0,0
310,Heerenveen,Friesland,52.960.561,5.920.522,187.76,49388.0,32600.0,183000.0,0
311,Lelystad,Flevoland,52.518.537,5.471.422,765.45,76170.0,32500.0,165000.0,0
312,Grootegast,Groningen,53.211.132,6.274.589,87.74,12193.0,32500.0,192000.0,0
313,Beverwijk,Noord-Holland,52.486.984,4.657.447,20.09,40052.0,32500.0,178000.0,0
314,Súdwest-Fryslân,Friesland,53.023.416,5.481.658,841.56,84258.0,32500.0,175000.0,0
315,Oude IJsselstreek,Gelderland,51.911.046,6.405.564,137.94,39614.0,32500.0,198000.0,0
