,municipality,province,latitude,longitude,surface_km2,population,avg_household_income_2012,avg_woz_2014,university
90,Wierden,Overijssel,52.358.260,6.593.873,95.39,23906.0,38400.0,235000.0,0
91,Dinkelland,Overijssel,52.407.617,6.897.260,176.82,25937.0,38300.0,248000.0,0
92,Langedijk,Noord-Holland,52.686.711,4.783.899,27.03,26984.0,38300.0,257000.0,0
93,Werkendam,Noord-Brabant,51.808.165,4.891.848,121.76,26400.0,38300.0,238000.0,0
94,Noordwijk,Zuid-Holland,52.239.989,4.450.009,51.45,25689.0,38300.0,328000.0,0
95,Woudrichem,Noord-Brabant,51.817.007,5.003.751,51.7,14407.0,38200.0,251000.0,0
96,Oisterwijk,Noord-Brabant,51.565.424,5.203.028,65.13,25835.0,38200.0,317000.0,0
97,Renkum,Gelderland,51.982.983,5.739.978,47.23,31577.0,38200.0,253000.0,0
98,Eijsden-Margraten,Limburg,50.819.960,5.821.457,78.32,24980.0,38200.0,237000.0,0
99,Brielle,Zuid-Holland,51.902.582,4.163.685,31.14,16306.0,38100.0,225000.0,0
100,Goirle,Noord-Brabant,51.523.677,5.064.195,42.34,23060.0,38100.0,251000.0,0
101,Barneveld,Gelderland,52.162.147,5.655.360,176.69,54176.0,38000.0,279000.0,0
102,Drimmelen,Noord-Brabant,51.708.552,4.803.490,119.43,26705.0,38000.0,234000.0,0
103,Zaltbommel,Gelderland,51.813.554,5.250.773,89.04,27207.0,38000.0,233000.0,0
104,Uithoorn,Noord-Holland,52.244.627,4.831.734,19.42,28407.0,38000.0,224000.0,0
105,Putten,Gelderland,52.245.301,5.568.482,87.41,24044.0,37900.0,292000.0,0
106,Urk,Flevoland,52.663.053,5.598.947,109.91,19487.0,37900.0,194000.0,0
107,Reusel-De Mierden,Noord-Brabant,51.370.650,5.146.555,78.64,12728.0,37900.0,270000.0,0
108,Kapelle,Zeeland,51.484.755,3.959.631,49.63,12508.0,37800.0,220000.0,0
109,Staphorst,Overijssel,52.642.914,6.199.494,135.69,16365.0,37800.0,248000.0,0
110,Tynaarlo,Drenthe,53.101.283,6.576.097,147.7,32506.0,37800.0,236000.0,0
111,Nijkerk,Gelderland,52.222.484,5.483.563,72.1,40600.0,37800.0,263000.0,0
112,Krimpen aan den IJssel,Zuid-Holland,51.914.353,4.596.233,8.95,28814.0,37700.0,218000.0,0
113,Bergeijk,Noord-Brabant,51.319.716,5.357.500,101.73,18250.0,37700.0,291000.0,0
114,Waddinxveen,Zuid-Holland,52.031.297,4.659.132,29.4,25520.0,37700.0,207000.0,0
115,Hattem,Gelderland,52.473.931,6.068.176,24.16,11742.0,37700.0,253000.0,0
116,Tubbergen,Overijssel,52.408.907,6.785.489,147.44,21216.0,37700.0,240000.0,0
117,Maasdriel,Gelderland,51.768.907,5.323.304,75.46,24197.0,37600.0,266000.0,0
118,Drechterland,Noord-Holland,52.653.307,5.183.589,80.74,19257.0,37600.0,231000.0,0
119,Wormerland,Noord-Holland,52.507.275,4.852.800,45.18,15751.0,37500.0,217000.0,0
120,Hardinxveld-Giessendam,Zuid-Holland,51.832.430,4.833.641,19.35,17736.0,37500.0,225000.0,0
121,Vianen,Utrecht,51.990.276,5.103.033,42.39,19573.0,37400.0,219000.0,0
122,Beuningen,Gelderland,51.859.724,5.769.107,47.09,25254.0,37400.0,231000.0,0
123,Strijen,Zuid-Holland,51.744.684,4.553.920,57.7,8678.0,37400.0,222000.0,0
124,Overbetuwe,Gelderland,51.932.775,5.781.465,115.08,46653.0,37300.0,235000.0,0
125,Veldhoven,Noord-Brabant,51.417.634,5.406.021,31.93,44136.0,37300.0,254000.0,0
126,Voorst,Gelderland,52.225.271,6.099.050,126.47,23801.0,37300.0,261000.0,0
127,Neder-Betuwe,Gelderland,51.930.937,5.574.103,68.16,22591.0,37300.0,220000.0,0
128,Boekel,Noord-Brabant,51.602.879,5.674.316,34.52,10089.0,37300.0,260000.0,0
129,Koggenland,Noord-Holland,52.652.196,4.942.015,84.13,22473.0,37200.0,232000.0,0
130,Bladel,Noord-Brabant,51.362.963,5.213.639,75.62,19825.0,37200.0,272000.0,0
131,Heusden,Noord-Brabant,51.733.004,5.138.279,81.22,43180.0,37200.0,266000.0,0
132,Scherpenzeel,Gelderland,52.078.930,5.488.065,13.81,9496.0,37100.0,265000.0,0
133,Westland,Zuid-Holland,51.999.176,4.217.457,90.58,103335.0,37100.0,241000.0,0
134,Boxmeer,Noord-Brabant,51.645.269,5.956.666,113.84,28135.0,37100.0,251000.0,0
135,Rhenen,Utrecht,51.962.140,5.571.116,43.76,19123.0,37100.0,255000.0,0
136,Leidschendam-Voorburg,Zuid-Holland,52.087.731,4.399.385,35.62,73392.0,37100.0,232000.0,0
137,Dalfsen,Overijssel,52.507.755,6.259.667,166.52,27655.0,37000.0,255000.0,0
138,Amersfoort,Utrecht,52.156.111,5.387.827,63.86,150943.0,36900.0,222000.0,0
139,Alphen aan den Rijn,Zuid-Holland,52.111.222,4.647.251,132.49,106809.0,36900.0,220000.0,0
140,Voerendaal,Limburg,50.879.153,5.931.160,31.52,12447.0,36800.0,206000.0,0
141,Opmeer,Noord-Holland,52.705.379,4.942.667,41.94,11374.0,36700.0,233000.0,0
142,Horst aan de Maas,Limburg,51.423.226,6.030.317,191.92,41718.0,36600.0,237000.0,0
143,Noordwijkerhout,Zuid-Holland,52.260.194,4.495.584,23.42,15982.0,36600.0,266000.0,0
144,Loon op Zand,Noord-Brabant,51.627.014,5.072.009,50.71,23104.0,36600.0,242000.0,0
145,Nunspeet,Gelderland,52.374.772,5.769.895,129.53,26707.0,36600.0,261000.0,0
146,Lisse,Zuid-Holland,52.257.930,4.557.483,16.05,22376.0,36600.0,251000.0,0
147,Cranendonck,Noord-Brabant,51.286.922,5.596.695,78.05,20388.0,36600.0,241000.0,0
148,Veere,Zeeland,51.548.294,3.666.006,206.63,21882.0,36600.0,261000.0,0
149,Moerdijk,Noord-Brabant,51.660.156,4.513.072,184.03,36775.0,36600.0,215000.0,0
150,Goeree-Overflakkee,Zuid-Holland,51.759.197,4.116.981,422.34,48233.0,36500.0,220000.0,0
151,Papendrecht,Zuid-Holland,51.842.481,4.694.183,10.79,32140.0,36500.0,190000.0,0
152,Hellevoetsluis,Zuid-Holland,51.831.863,4.131.810,46.27,38918.0,36500.0,195000.0,0
153,Leudal,Limburg,51.261.966,5.890.997,164.89,36213.0,36500.0,213000.0,0
154,Katwijk,Zuid-Holland,52.198.020,4.419.943,31.13,62825.0,36500.0,249000.0,0
155,Ede,Gelderland,52.040.168,5.664.859,318.62,110657.0,36400.0,233000.0,0
156,West Maas en Waal,Gelderland,51.861.341,5.501.737,85.21,18391.0,36400.0,245000.0,0
157,Hilversum,Noord-Holland,52.229.170,5.166.897,46.35,86574.0,36400.0,253000.0,0
158,De Wolden,Drenthe,52.681.979,6.366.039,226.35,23592.0,36300.0,252000.0,0
159,Borne,Overijssel,52.300.237,6.753.726,26.16,21901.0,36300.0,207000.0,0
160,Culemborg,Gelderland,51.956.108,5.240.045,31.14,27579.0,36300.0,220000.0,0
161,Ermelo,Gelderland,52.298.665,5.629.619,87.33,26080.0,36300.0,262000.0,0
162,Mill en Sint Hubert,Noord-Brabant,51.679.806,5.755.381,53.17,10843.0,36300.0,256000.0,0
163,Hof van Twente,Overijssel,52.241.427,6.591.555,215.41,34987.0,36300.0,229000.0,0
164,Borsele,Zeeland,51.447.691,3.803.318,194.52,22592.0,36200.0,209000.0,0
165,Bronckhorst,Gelderland,52.075.595,6.180.892,286.42,36941.0,36200.0,257000.0,0
166,Druten,Gelderland,51.894.084,5.594.272,42.46,18206.0,36200.0,230000.0,0
167,Duiven,Gelderland,51.947.458,6.017.950,35.19,25580.0,36200.0,210000.0,0
168,Halderberge,Noord-Brabant,51.586.263,4.513.956,75.21,29379.0,36200.0,232000.0,0
169,Heerde,Gelderland,52.390.918,6.049.638,80.42,18515.0,36200.0,254000.0,0
170,Rijssen-Holten,Overijssel,52.292.506,6.439.999,94.38,37696.0,36200.0,220000.0,0
171,Peel en Maas,Limburg,51.339.919,6.012.298,161.35,43298.0,36200.0,229000.0,0
172,Nederweert,Limburg,51.286.563,5.752.701,101.78,16773.0,36100.0,237000.0,0
173,Laarbeek,Noord-Brabant,51.538.447,5.621.273,56.17,21815.0,36100.0,253000.0,0
174,Raalte,Overijssel,52.380.903,6.278.318,172.29,36526.0,36000.0,238000.0,0
175,Lingewaard,Gelderland,51.903.891,5.935.221,69.14,45814.0,36000.0,231000.0,0
176,Deurne,Noord-Brabant,51.464.220,5.795.068,118.36,31669.0,36000.0,254000.0,0
177,Zoetermeer,Zuid-Holland,52.060.669,4.494.025,37.05,123614.0,36000.0,188000.0,0
178,Hillegom,Zuid-Holland,52.295.626,4.579.176,13.48,20987.0,36000.0,227000.0,0
179,Dongen,Noord-Brabant,51.628.710,4.938.239,29.72,25389.0,35900.0,226000.0,0
180,Schinnen,Limburg,50.943.647,5.879.361,24.12,12961.0,35900.0,193000.0,0
181,Nuth,Limburg,50.911.427,5.892.596,33.13,15577.0,35900.0,198000.0,0
182,Wijchen,Gelderland,51.813.674,5.752.895,69.56,41010.0,35800.0,227000.0,0
183,Zundert,Noord-Brabant,51.470.701,4.662.356,121.17,21374.0,35800.0,289000.0,0
184,Asten,Noord-Brabant,51.402.994,5.744.078,71.34,16479.0,35800.0,275000.0,0
185,Oosterhout,Noord-Brabant,51.641.020,4.861.690,73.09,53733.0,35800.0,225000.0,0
186,Boxtel,Noord-Brabant,51.601.437,5.312.177,64.85,30325.0,35800.0,244000.0,0
187,Gilze en Rijen,Noord-Brabant,51.559.855,4.909.254,65.66,26013.0,35700.0,233000.0,0
188,Someren,Noord-Brabant,51.384.967,5.712.367,81.5,18700.0,35700.0,265000.0,0
189,Woensdrecht,Noord-Brabant,51.429.248,4.304.708,91.91,21654.0,35700.0,224000.0,0
190,Schagen,Noord-Holland,52.788.091,4.804.400,187.28,46016.0,35700.0,222000.0,0
191,Geertruidenberg,Noord-Brabant,51.702.366,4.849.978,29.64,21597.0,35600.0,204000.0,0
192,Haaksbergen,Overijssel,52.160.665,6.738.100,105.5,24357.0,35600.0,215000.0,0
193,Etten-Leur,Noord-Brabant,51.586.886,4.667.138,55.92,42351.0,35600.0,224000.0,0
194,Brummen,Gelderland,52.090.167,6.158.015,85.01,21169.0,35600.0,240000.0,0
195,Medemblik,Noord-Holland,52.767.447,5.106.918,257.56,43331.0,35600.0,219000.0,0
